fin,url
kyhmyjoutsen,https://mappa.fi/lajikortit/kyhmyjoutsen/?referrer=aWQ9NTEwNjM
laulujoutsen,https://mappa.fi/lajikortit/laulujoutsen/?referrer=aWQ9NTEwNjM
metsähanhi,https://mappa.fi/lajikortit/metsahanhi/?referrer=aWQ9NTEwNjM
lue lisää,https://mappa.fi/lajikortit/metsahanhi/?referrer=aWQ9NTEwNjM
merihanhi,https://mappa.fi/lajikortit/merihanhi/?referrer=aWQ9NTEwNjM
kanadanhanhi,https://mappa.fi/lajikortit/kanadanhanhi/?referrer=aWQ9NTEwNjM
valkoposkihanhi,https://mappa.fi/lajikortit/valkoposkihanhi/?referrer=aWQ9NTEwNjM
haapana,https://mappa.fi/lajikortit/haapana/?referrer=aWQ9NTEwNjM
sinisorsa,https://mappa.fi/lajikortit/sinisorsa/?referrer=aWQ9NTEwNjM
tavi,https://mappa.fi/lajikortit/tavi/?referrer=aWQ9NTEwNjM
haahka,https://mappa.fi/lajikortit/haahka/?referrer=aWQ9NTEwNjM
telkkä,https://mappa.fi/lajikortit/telkka/?referrer=aWQ9NTEwNjM
isokoskelo,https://mappa.fi/lajikortit/isokoskelo/?referrer=aWQ9NTEwNjM
teeri,https://mappa.fi/lajikortit/teeri/?referrer=aWQ9NTEwNjM
fasaani,https://mappa.fi/lajikortit/fasaani/?referrer=aWQ9NTEwNjM
kuikka,https://mappa.fi/lajikortit/kuikka/?referrer=aWQ9NTEwNjM
silkkiuikku,https://mappa.fi/lajikortit/silkkiuikku/?referrer=aWQ9NTEwNjM
merimetso,https://mappa.fi/lajikortit/merimetso/?referrer=aWQ9NTEwNjM
harmaahaikara,https://mappa.fi/lajikortit/harmaahaikara/?referrer=aWQ9NTEwNjM
merikotka,https://mappa.fi/lajikortit/merikotka/?referrer=aWQ9NTEwNjM
nokikana,https://mappa.fi/lajikortit/nokikana/?referrer=aWQ9NTEwNjM
kurki,https://mappa.fi/lajikortit/kurki/?referrer=aWQ9NTEwNjM
meriharakka,https://mappa.fi/lajikortit/meriharakka/?referrer=aWQ9NTEwNjM
töyhtöhyyppä,https://mappa.fi/lajikortit/toyhtohyyppa/?referrer=aWQ9NTEwNjM
kuovi,https://mappa.fi/lajikortit/kuovi/?referrer=aWQ9NTEwNjM
kalatiira/lapintiira,https://mappa.fi/lajikortit/kalartiira-lapintiira/?referrer=aWQ9NTEwNjM
naurulokki,https://mappa.fi/lajikortit/naurulokki/?referrer=aWQ9NTEwNjM
kalalokki,https://mappa.fi/lajikortit/kalalokki/?referrer=aWQ9NTEwNjM
harmaalokki,https://mappa.fi/lajikortit/harmaalokki/?referrer=aWQ9NTEwNjM
kesykyyhky,https://mappa.fi/lajikortit/kesykyyhky-pulu/?referrer=aWQ9NTEwNjM
sepelkyyhky,https://mappa.fi/lajikortit/sepelkyyhky/?referrer=aWQ9NTEwNjM
käki,https://mappa.fi/lajikortit/kaki/?referrer=aWQ9NTEwNjM
tervapääsky,https://mappa.fi/lajikortit/tervapaasky/?referrer=aWQ9NTEwNjM
palokärki,https://mappa.fi/lajikortit/palokarki/?referrer=aWQ9NTEwNjM
käpytikka,https://mappa.fi/lajikortit/kapytikka/?referrer=aWQ9NTEwNjM
västäräkki,https://mappa.fi/lajikortit/vastarakki/?referrer=aWQ9NTEwNjM
tilhi,https://mappa.fi/lajikortit/tilhi/?referrer=aWQ9NTEwNjM
mustarastas,https://mappa.fi/lajikortit/mustarastas/?referrer=aWQ9NTEwNjM
räkättirastas,https://mappa.fi/lajikortit/rakattirastas/?referrer=aWQ9NTEwNjM
pajulintu,https://mappa.fi/lajikortit/pajulintu/?referrer=aWQ9NTEwNjM
kiuru,https://mappa.fi/lajikortit/kiuru/?referrer=aWQ9NTEwNjM
kirjosieppo,https://mappa.fi/lajikortit/kirjosieppo/?referrer=aWQ9NTEwNjM
haarapääsky,https://mappa.fi/lajikortit/haarapaasky/?referrer=aWQ9NTEwNjM
sinitiainen,https://mappa.fi/lajikortit/sinitiainen/?referrer=aWQ9NTEwNjM
talitiainen,https://mappa.fi/lajikortit/talitiainen/?referrer=aWQ9NTEwNjM
punarinta,https://mappa.fi/lajikortit/punarinta/?referrer=aWQ9NTEwNjM
harakka,https://mappa.fi/lajikortit/harakka/?referrer=aWQ9NTEwNjM
varis,https://mappa.fi/lajikortit/varis/?referrer=aWQ9NTEwNjM
kottarainen,https://mappa.fi/lajikortit/kottarainen/?referrer=aWQ9NTEwNjM
punakylkirastas,https://mappa.fi/lajikortit/punakylkirastas/?referrer=aWQ9NTEwNjM
varpunen,https://mappa.fi/lajikortit/varpunen/?referrer=aWQ9NTEwNjM
pikkuvarpunen,https://mappa.fi/lajikortit/pikkuvarpunen/?referrer=aWQ9NTEwNjM
peippo,https://mappa.fi/lajikortit/peippo/?referrer=aWQ9NTEwNjM
sirittäjä,https://mappa.fi/lajikortit/sirittaja/?referrer=aWQ9NTEwNjM
tiltaltti,https://mappa.fi/lajikortit/tiltaltti/?referrer=aWQ9NTEwNjM
hippiäinen,https://mappa.fi/lajikortit/hippiainen/?referrer=aWQ9NTEwNjM
punatulkku,https://mappa.fi/lajikortit/punatulkku/?referrer=aWQ9NTEwNjM
